date;time;location;operator;flight_tag;aircraft_type;aircraft_reg;cn_ln;accident_type;fatalities;total_crew;dead_names
11/21/1916;16:00;Mainz, Germany;Military - German Army;None;Super Zeppelin (airship);None;None;Other;27;28;[Lanee Boigie,Vaughan Nicko,Cayce Base,Brandin Roberto,Machael Upton,Hashem Sauncho,Jemel Major,Jessilyn Ilario,Venson Zacharia,Jeoffrey Mikael,Kassidy Ker,Jake Wilek,Noa Davidde,Dennys Gilles,Westin Gideon,Zakary Selby,Hassan Konstantin,Jessyca Wallace,Linnea Raynor,Nairy Kendal,Metta Reece,Aziza Ian,Toribio Theodor,Caila Dickie,Aleksander Jefferey,Alfredo Mohandis,Latecia Trumaine]
11/28/1916;23:45;Off West Hartlepool, England;Military - German Navy;None;Zeppelin L-34 (airship);None;None;Other;20;20;[Nick Shanan,Aysia Alwyn,Jordi Brew,Elli Gaby,Jaymie Constantine,Rayanna Angus,Taneika Barney,Dulse Alan,Alisen Nikolas,Johnanna Yorker,Starlynn Archambault,Jvon Bond,Benajamin Evyn,Lindy Brian,Rashel Alonso,Rosio Delmar,Emmie Ly,Shadia Stu,Derris Andris,Shunte Neill]
03/04/1917;05:35;Near Gent, Belgium;Military - German Army;None;Airship;None;None;Unknown;20;20;[Iffany Shermie,Doni Donalt,Halie Earle,Sherika Emmott,Schneider Sullivan,Nikolaos Thom,Shiri Thaddeus,Iasha Johan,Javonte Briant,Silver Link,Torrance Bil,Kelina Morie,Ranjit Ole,Andrae Hersch,Haily Perry,Alishea Ode,Mirissa Hube,Haydee Tedman,Llesenia Weston,Lagena Jerad]
03/30/1917;14:34;Off Northern Germany;Military - German Navy;None;Schutte-Lanz S-L-9 (airship);None;None;Weather;23;23;[Jacqlyn Jacobo,Talana Kelly,Chela Ezri,Geovanna Rurik,Reham Vassili,Quang Ely,Shanetra Crawford,Latoya Ody,Sharea Virgie,Joletta Carlos,Ivan Kennett,Thoms Ugo,Jatara Gaile,Leteshia Christoffer,Kaydee Friedrich,Toi Kendricks,Anthony Fabiano,Carmilla Normy,Thornton Dicky,Cariann Jedidiah,Melva Gunar,Savhanna Claudio,Stefani Rice]
05/14/1917;05:15;Near Texel Island, North Sea;Military - German Navy;None;Zeppelin L-22 (airship);None;None;Unknown;21;21;[Zarinah Kayne,Zita Quinlan,Mallissa Blake,Jatoya Lodovico,Lekeith Giacomo,Tennille Guillaume,Termaine Colas,Laurissa Frederik,Kadeidra Ruggiero,Tieka Arri,Hadassah Mandel,Micheala Brent,Shantal Red,Agostino Randy,Stepanie Stefano,Shey Daven,Jerrick Rafe,Jerrin Greg,Brienne Patrice,Dalaina Irwin,Deshundra Mac]
06/14/1917;08:45;Off Vlieland Island, North Sea;Military - German Navy;None;Zeppelin L-43 (airship);None;None;Other;24;24;[Tonica Keven,Shavon Vaughan,Kaitland Addie,Kita Sauveur,Zakiya Wendel,Lensey Garrik,Larenzo Jeremiah,Chanequa Crichton,Charonda Ky,Marisa Norry,Talar Giordano,Trudi Steward,Christen Hubie,Nyah Findlay,Blossom Vite,Naeemah Raimondo,Jospeh Ambrose,Chirstopher Abba,Dorie Che,Terrian Orton,Shelah Sancho,Shavonda Yance,Abbra Remington,Glorimar Bud]
06/17/1917;14:09;Near Yarmouth, England;Unknown;None;Zepplin LZ-95 (air ship);L-48;None;Unknown;14;16;[Pang Odell,Seda Michel,Antionio Whitney,Shavaun Phil,Taundra Lazar,Bindi Kilian,Khalisha Donalt,Elvera Delmore,Ciro Andreas,Galen Pryce,Kaira Leon,Tomasz Barnabe,Lashawna Cord,Deanndra Elwyn]
08/21/1917;07:00;Off western Denmark;Military - German Navy;None;Zeppelin L-23 (airship);None;None;Weather;18;18;[Romney Bondon,Raleigh Howie,Teara Sheff,Lizzette Benn,Kareen Nealson,Larua Douglass,Husam Rickert,Jefferey Vinny,Eustacia Dmitri,Evert Crichton,Brienne Waite,Chatoya Marion,Sheniece Gar,Paolo Nester,Linden Ermin,Aditya Herbie,Pierson Lewes,Rochelle Alasteir]
10/20/1917;07:45;Near Luneville, France;Military - German Navy;None;Zeppelin L-44 (airship);None;None;Hijacked;18;18;[Rashunda Ernestus,Genia Early,Teneya Paul,Jennifier Ferdinand,Perfecto Vance,Fatemeh Sully,Genae Rickie,Marlisa Law,Asim Drud,Arisa Jim,Ellisha Mycah,Dakisha Derril,Austen Elbert,Marcelino Maxy,Marjan Siward,Caylan Ike,Any Tomaso,Ruthann Jarrad]
04/07/1918;21:30;Over the Mediterranean;Military - German Navy;None;Zeppelin L-59 (airship);None;None;Malfunction;23;23;[Ardith Wake,Willia Che,Kaileen Chucho,Rickey Munroe,Jamaica Renaldo,Giuliana Kelbee,Darielle Del,Geovanna Paulie,Antony Eldin,Leane Brose,Demetrious Michel,Dilcia Lewie,Katrell Mort,Everette Willard,Krystian Cristiano,Rupert Niki,Davy Frasco,Dorthea Manfred,Jocelynn Carl,Sunil Stevie,Aja Garvey,Laquista Benedetto,Brynna Romain]
05/10/1918;06:23;Off Helgoland Island, Germany;Military - German Navy;None;Zeppelin L-70 (airship);None;None;Unknown;22;22;[Jolena Enrique,Tyce Uriah,Augusto Flemming,Kelsha Jerri,Marchella Dominick,Giuseppe Padraig,Sherrika Casey,Terrial Brent,Edrick Joseito,Jessi Gian,Artemus Arturo,Alvina Angelico,Demonica Richmound,Cirilo Miner,Falisha Bordie,Tremayne Tim,Joeline Reynolds,Nadiya Chester,Selenne Jordon,Aakash Reggie,Vanassa Dex,Roberta Joaquin]
08/11/1918;10:00;Ameland Island, North Sea;Military - German Navy;None;Zeppelin L-53 (airship);None;None;Unknown;19;19;[Gill Fulton,Concepcion Galen,Stephana Brody,Katieann Bartram,Teiara Derron,Jeronimo Carlie,Bridgit Jabez,Domenique Sander,Lathisa Brady,Jaynell Fletcher,Makeya Der,Leeann Everett,Ketan Tadeas,Divya Elston,Aliana Lek,Jodan Grantley,Marquerite Dane,Brandyn Georgy,Chang Hartley]
12/16/1918;01:57;Elizabeth, New Jersey;US Aerial Mail Service;None;De Havilland DH-4;97;None;Unknown;1;1;[Kristalynn Chico]
05/25/1919;21:27;Cleveland, Ohio;US Aerial Mail Service;None;De Havilland DH-4;61;None;Unknown;1;1;[Kanika Baron]
07/19/1919;11:11;Dix Run, Pennsylvania;US Aerial Mail Service;None;De Havilland DH-4;82;None;Unknown;1;1;[Akbar Bord]
07/21/1919;16:55;Chicago, Illinois;Wingfoot Air Express Goodyear Tire;None;FD Type Dirigible;None;None;Unknown;3;3;[Halbert Natty,Catherina Koenraad,Shailyn Erek]
08/02/1919;15:53;Verona, Italy;Caproni Company;None;Caproni Ca.48;None;None;Unknown;14;14;[Laquanta Tynan,Keenan Wilhelm,Jaynee Godfrey,Tangie Lazaro,Donnelle Iggy,Americo Cobbie,Chanay Selig,David Gare,Tifanie Thane,Florencio Adams,Katya Arvin,Isa Guido,Gerardo Zachary,Parris Nefen]
10/02/1919;03:35;Newcastle, England;Aircraft Transport and Travel;None;De Havilland DH-4;None;None;Other;1;1;[Lititia Roarke]
10/14/1919;18:50;Cantonsville, Maryland;US Aerial Mail Service;None;Curtiss R-4LM;32;None;Unknown;1;1;[Billijo Piggy]
10/20/1919;20:56;English Channel off Forkstone, Kent;Aircraft Transport and Travel;None;De Havilland DH-4;G-EAHG;None;Hijacked;0;0;[]
10/30/1919;12:42;Long Valley, New Jersey;US Aerial Mail Service;None;De Havilland DH.4;77;77;Malfunction;1;1;[Teosha Nicola]
12/11/1919;23:56;Catherham, Surrey, UK;Aircraft Travel Transport;None;De Havilland DH-4;G-EAHF;None;Shot down;1;1;[Jillene Bradley]
03/10/1920;07:34;New Paris, Indiana;US Aerial Mail Service;None;De Havilland DH-4;65;None;Unknown;1;1;[Ashey Gav]
03/30/1920;07:02;Newark, New Jersey;US Aerial Mail Service;None;De Havilland DH-4;72;None;Unknown;1;1;[Laurice Reinhold]
04/10/1920;11:05;Newark, New Jersey;US Aerial Mail Service;None;Curtiss R-4LM;49;None;Unknown;1;2;[Job Consalve]
04/11/1920;03:11;Heller Field, New Jersey;US Aerial Mail Service;None;Curtiss JN-4H;44;None;Unknown;1;2;[Marcelino Nataniel]
05/12/1920;00:00;Oskaloosa, Iowa;US Aerial Mail Service;None;De Havilland DH-4;79;None;Other;1;2;[Wende Sigfrid]
06/06/1920;15:49;Cleveland, Ohio;US Aerial Mail Service;None;De Havilland DH-4;204;None;Weather;1;1;[Lillianna Collin]
07/20/1920;03:48;Cartagena, Columbia;Compania Colombiana de Navegacion Aerea;None;Farman F-40;None;None;Unknown;1;1;[Deshunda Chan]
08/16/1920;11:15;Bedford, England;By Air;None;Armstrong-Whitworth F-K-8;G-EALW;None;Hijacked;1;1;[Marques Vite]
08/16/1920;13:19;College Park, Maryland;US Aerial Mail Service;None;De Havilland DH-4;317;None;Unknown;1;1;[Vivian Natal]
09/01/1920;07:36;Morristown, New Jersey;US Aerial Mail Service;None;Junkers JL-6;305;None;Other;2;2;[Alvie Woodrow,Elena Greggory]
09/15/1920;02:38;Pemberville, Ohio;US Aerial Mail Service;None;Junkers F-13;308;None;Unknown;2;2;[Amr Hillel,Marquite Boyd]
09/27/1920;00:49;Hillersburg, Pennsylvania;US Aerial Mail Service;None;De Havilland DH-4;316;None;Unknown;1;1;[Jermon Boote]
10/02/1920;05:48;Off Port Vendres, France;Latecoere Airlines;None;Salmson 2-A-2;F-ALAI;31;Other;2;2;[Nicholus Fraze,Madai Durward]
10/05/1920;09:21;Valencia, Spain;Latecoere Airlines;None;Breguet 14;F-ALTA;20;Unknown;2;2;[Roel Sayre,Elspeth Penrod]
10/15/1920;06:41;Batavia, Illinois;US Aerial Mail Service;None;De Havilland DH-4;76;None;Unknown;1;1;[Latisia Brendon]
11/07/1920;14:18;Tie Siding, Wyoming;US Aerial Mail Service;None;De Havilland DH-4;None;178;Unknown;1;1;[Darroll Phip]
12/14/1920;12:15;London, England;Handley Page Transport;None;Handley Page HP-16;G-EAMA;HP-25;Unknown;4;8;[Domenica Duffie,Alberta Lyell,Gyasi Gauthier,Shannan Shepard]
12/24/1920;18:42;Barcelona, Spain;Aeropostale;None;Breguet 14;F-ALBO;57;Unknown;1;1;[Marketa Clair]
02/03/1921;21:05;Mendotta, Minnisota;US Aerial Mail Service;None;De Havilland DH-4;130;None;Unknown;1;1;[Shakeela Benji]
02/09/1921;03:27;La Crosse, Wisconsin;US Aerial Mail Service;None;Junkers F-13;301;None;Unknown;3;3;[Kaydi Berti,Joson Xymenes,Nika Demetre]
02/15/1921;01:38;Off Gibraltar;Aeropostale;None;Breguet 14;F-ALBA;None;Other;2;2;[Ming Husain,Katrine Tynan]
02/22/1921;07:04;Elko, Nevada;US Aerial Mail Service;None;De Havilland DH-4;67;None;Unknown;1;1;[Phaedra Noble]
04/06/1921;14:20;Point Cook, Australia;Military - Royal Australian Air Force;None;Avro 504;H3021;None;Unknown;2;2;[Barbra Way,Kameisha Hayes]
04/21/1921;07:43;Mitchel Field, NY;US Aerial Mail Service;None;De Havilland DH-4;160;None;Other;1;1;[Ameen Burr]
04/29/1921;19:35;Cleveland, Ohio;US Aerial Mail Service;None;De Havilland DH-4;196;None;Unknown;1;1;[Keli Domingo]
05/17/1921;17:51;Rock Springs, Wyoming;US Aerial Mail Service;None;De Havilland DH-4 De Havilland DH-4;176;None;Unknown;1;1;[Gerred Shadow]
08/14/1921;00:05;Toulouse, France;Aeropostale;None;Breguet 14;F-ALBI;None;Other;2;2;[Yanira Mahmoud,Amirah Falkner]
08/24/1921;17:40;River Humber, England;Military - Royal Airship Works;None;Royal Airship Works ZR-2 (airship);R-38;R-38;Unknown;46;46;[Rosalva Kippie,Guillermo Everett,Ricco Rey,Neill Zachery,Ramzy Brnaby,Kayci Buckie,Kassia Robbie,Carroll Erny,Llesenia Ronnie,Chantale Mikel,Long Clayson,Jimena Murry,Denae Aylmar,Tannette Lyn,Yeni Gerome,Becky Niall,Ayelet Nil,Nataya Cass,Carlyne Say,Vince Rodd,Hanah Jeth,Azalia Siward,Nakeeta Petr,Joie Ber,Samanthia Rossy,Shandrika Patrice,Ronnisha Hervey,Janiqua Casper,Travas Syd,Florance Inness,Marianela Ansel,Anne Fabe,Gorge Thornie,Melodi Carl,Adara Hamnet,Tinamarie Eldon,Demita Tadeo,Helder Sander,Nyssa Zacharie,Aurelia Drud,Michaelle Davey,Seirra Marchall,Katelan Weidar,Loni Guss,Mykel Aldon,Donny Lazaro]
09/06/1921;16:50;Paris, France;Compagnie Franco-Roumaine de Navigaation Aerienne;None;Potez IX;F-ADCD;160;Unknown;5;5;[Channelle Hewe,Christion Graig,Cassadie Verne,Kennya Ced,Emery Tonnie]
12/05/1921;23:34;Near Murchinson River, Australia;West Australian Airways;None;Bristol 28 Tourer;G-AUDI;6116;Unknown;2;2;[Lalita Skipton,Ioanna Thornton]
01/14/1922;04:11;Paris, France;Handley Page Transport;None;Handley Page O/10;G-EATN;HP-43;Hijacked;5;5;[Princes Karlik,Noreen Clementius,Hosanna Taber,Madelyne Sander,Alisha Paten]
02/21/1922;03:54;Near Norfolk, Virginia;Military - U.S. Army Air Forces;None;Dirigible Roma (airship);None;None;Unknown;34;45;[Llewellyn Ben,Tashunda Derrick,Kymberli Payton,Sacha Raddie,Yury Marlow,Rebekah Ode,Dyana Brandtr,Chayna Selby,Aerica Whitby,Calley Jarib,Olivia Sebastian,Inge Kennedy,Davan Mata,Depaul Henrik,Quentina Rolando,Samona Culver,Inda Casey,Autumn Sigismundo,Levin Even,Darla Jamey,Enriqueta Teodoro,Tylen Gail,Justus Redford,Idella Jonah,Laycee Berkly,Pricillia Windham,Shawntell Mile,Nyle Dale,Edoardo Waverly,Xiong Westley,Jassica Humberto,Jabin Edouard,Suzanna Derk,Isa Wade]
03/22/1922;11:40;North Atlantic Ocean;Aero Limited;None;Aeromarine Model 85 (flying boat);None;None;Hijacked;5;6;[Mickayla Trumann,Alexius Oliver,Ammy Jamal,Shaconna Diarmid,Janita Baxie]
04/07/1922;13:15;Grandvilliers, France;Daimler Airways / Grands Express Aeriens;None;De Havilland DH-18 / Farman F-60 Goliath;G-EAOW/FGEAD;4;Other;7;7;[Telena Zerk,Tyrene Evelyn,Shyann Skipp,Joany Herbie,Shanquita Dillon,Lindell Kipper,Kamelia Melvyn]
04/08/1922;05:08;Pao Ting Fou, China;Unknown;None;NULL;None;None;Other;17;17;[Gaylord Ingelbert,Luella Barr,Tavin Barnabas,Aneesa Harwilll,Dakisha Rickey,Stephane Nicolas,Damorris Bear,Brittney Gaylord,Brandalyn Ingram,Ginnette Baryram,Sanjuanita Clay,Octavian Vaclav,Cressie Will,Chinita Nahum,Merton Ruy,Danise Harvey,Nadir Alix]
06/03/1922;06:34;Off Folkestone, Kent, England;Cie des Messageries Aeriennes;None;Bleriot Spad 27;F-ACMH;555;Other;3;3;[Karena Ly,Billiejean Birch,Marin Brit]
07/04/1922;23:29;Fuhlsbuttel, Germany;Unknown;None;LVG C VI;None;None;Unknown;2;3;[Yuriana Mitch,Tyia Torrence]
07/16/1922;16:45;Near Saverne, Lorraine, France;Compagnie Franco-Roumaine de Navigaation Aerienne;None;Potez 29;F-FREI;25;Unknown;5;5;[Aislinn Shelley,Tyrene Berny,Stepheny Raviv,Evalina Giacopo,Benedict Winifield]
07/26/1922;22:36;Cadix, Spain;Grands Express Aeriens;None;Breguet 14;F-ALVE;117;Weather;3;3;[Kandise Bartholomeo,Kenndra Willey,Dimitrios Henry]
09/07/1922;20:11;Indianapolis, Indiana;US Aerial Mail Service;None;De Havilland DH-4;227;None;Other;1;1;[Denika Evin]
10/02/1922;11:22;Venice, Italy;De Havilland Air Service;None;De Havilland DH-9;G-EAYT;14;Unknown;4;4;[Luanne Antin,Arcadio Solomon,Gao Danny,Shelita Theodore]
10/25/1922;07:37;Larache, Morocco;Grands Express Aeriens;None;Breguet 14;None;None;Other;2;2;[Obrian Pierson,Demetris Gaspar]
12/03/1922;16:55;Fez, Morocco;Grands Express Aeriens;None;Breguet 14;F-ALNA;14;Unknown;1;1;[Ibrahim Richmond]
01/10/1923;08:38;Ajaccio, France;Amee de l'Air;None;Lioré-et-Olivier H-13;F-AEIB;4;Other;3;4;[Gerado Colan,Cord Vance,Rachal Russell]
01/17/1923;06:44;Barcelona, Spain;Grands Express Aeriens;None;Breguet 14;F-ALJU;6083-130;Unknown;1;1;[Sekina Feliks]
01/18/1923;10:01;Cheyenne, Wyoming;US Aerial Mail Service;None;De Havilland DH-4;223;None;Unknown;1;1;[Marlaina Isaiah]
02/26/1923;22:38;Meadville, Pennsylvania;US Aerial Mail Service;None;De Havilland DH-4;291;None;Unknown;1;1;[Valerieann Cody]
05/14/1923;13:42;Near Amiens, Picrdie, France;Grands Express Aeriens (Air Union);None;Farman F-60 Goliath;F-AEBY;15;Unknown;6;6;[Shontai Tiebout,Yvan Shem,Alejandro Otho,Kaia Haskel,Andreya Lyn,Gerren Claire]
08/27/1923;17:30;East Mallling, United Kingdom;Air Union;None;Farman F.60 Goliath;F-AECB;4;Unknown;1;11;[Shakea Estevan]
08/27/1923;17:29;Bucharest, Romania;Campagnie France Roumaine;None;Blériot Spad 46;F-AEGN;28;Unknown;2;2;[Camelle Sanford,Tashunda Mordecai]
09/07/1923;07:07;Colton, Ohio;US Aerial Mail Service;None;De Havilland DH-4;283;None;Unknown;1;1;[Wafa Nigel]
09/14/1923;18:00;Near Ivinghoe, Buckinghamshire, England;Daimler Airways;None;De Havilland DH-34;G-EBBS;29;Unknown;5;5;[Raymundo Waylin,Sayra Heath,Karoline Taber,Cavan Hobard,Quintisha Oberon]
11/18/1923;12:47;Russia;CCCP;None;Junkers F-13;D-257;None;Unknown;3;5;[Albert Costa,Branch Bjorn,Mahdi Hersch]
12/06/1923;20:37;Castalia, Ohio;US Aerial Mail Service;None;De Havilland DH-4;318;None;Unknown;1;1;[Cyrene Raphael]
12/23/1923;02:30;Over the Mediterranean Sea;Military - French Navy;None;Zeppelin Dixmunde (airship);L-72;None;Malfunction;52;52;[Brennan Welby,Charmane Dudley,Liezl Vasilis,Margherita Courtney,Jesusa Salomo,Saretta Hashim,Lauren Jud,Duc Chris,Joanathan Patton,Dorianne Mychal,Curtis Raynard,Emanual Antone,Khai Roma,Jinny Jeffry,Bashir Desi,Charis Bo,Shawndrea Sandy,Dequincy Salmon,Betheny Octavius,Derreck Sax,Suly Agustin,Kamau Jon,Raymondo Derrick,Sion Matthaeus,Tiernan Wright,Shamaine Beale,Hebert Beltran,Gerilyn Quintin,Arion Goddard,Nikolas Randi,Felita Claybourne,Basil Sauncho,Bella Augusto,Dorthy Faulkner,Ruthie Joseito,Natanya Broddy,Merton Farly,Danny Jacob,Marcas Sebastien,Maynor Towny,Eward Odie,Larhonda Allard,Sheika Gradeigh,Sion Glen,Nickia Abie,Sonia Manolo,Morgaine Fraser,Derel Grantham,Tylan Gordy,Shamere Vale,Viridiana Ky,Phung Dory]
12/24/1923;01:30;Egbert, WY;US Aerial Mail Service;None;De Havilland DH-4;315;None;Unknown;1;1;[Chrysta Shepperd]
03/07/1924;17:47;Grampian, Pennsylvania;US Aerial Mail Service;None;De Havilland DH-4;327;None;Unknown;1;1;[Tyreik Kelsey]
04/24/1924;13:48;Over the English Channel;KLM Royal Dutch Airlines;None;Fokker F.III;H-NABS;1535;Unknown;3;3;[Rosland Hewet,Destiney Massimiliano,Malia Sigismund]
06/08/1924;20:56;Barranquilla, Colombia;SCADTA;None;Junkers F-13;A16;684;Other;5;5;[Shanterra Baird,Carry Bailie,Jacqlyn Kevin,Saysha Kelvin,Mollie Felice]
08/01/1924;04:51;United States;US Aerial Mail Service;None;De Havilland DH-4;297;None;Unknown;1;1;[Champagne Rowney]
11/06/1924;10:12;Cabrerolles, France;Grands Express Aeriens;None;Breguet 14;F-AFBD;None;Other;1;1;[Teah Adolphe]
12/21/1924;12:02;Goshen, Indiana;US Aerial Mail Service;None;De Havilland DH-4;311;None;Weather;1;1;[Penelope Timmy]
12/24/1924;12:00;Purley, England;Imperial Airways;None;De Havilland DH-34B;G-EBBX;36;Unknown;8;8;[Chassidy Olav,Goldie Giffy,Naftali Meredith,Reynolds Gunar,Rakesh Hamlin,Salbador Aguistin,Christos Brantley,Bethaney Isidor]
03/22/1925;06:51;Near Tiflis, Georgia, USSR;Zakavia;None;Junkers F-13;R-RECA;590;Unknown;5;5;[Derron Micheil,Mellisa Devland,Kalem Brig,Jhamal Sebastiano,Maxx Malchy]
04/25/1925;09:09;Alicante, Spain;Grands Express Aeriens;None;Breguet 14;F-AFBB;202;Unknown;3;3;[Jenni Quentin,Cacia Skippie,Mandel Joe]
06/25/1925;22:04;Landrécies, France;KLM Royal Dutch Airlines;None;Fokker F.III;H-NABM;1502;Shot down;4;4;[Johan Blair,Darice Rocky,Tremain Tanny,Haylee Nikolos]
06/26/1925;13:44;Alicante, Spain;Grands Express Aeriens;None;Lioré-et-Olivier LeO H-13;F-FREM;None;Other;2;2;[Kelton Zach,Simon Garik]
07/20/1925;00:57;Rosas, Spain;Lignes Aeriennes Latecoere;None;Breguet 14;F-AFBI;209;Unknown;1;1;[Angle Yul]
07/24/1925;18:49;Budapest, Hungary;CIDNA;None;Potez IX;None;None;Unknown;1;1;[Timohty Elroy]
09/03/1925;05:30;Caldwell, Ohio;Military - U.S. Navy;None;Dirigible ZR-1 Shenandoah (airship);ZR-1;None;Hijacked;14;43;[Nadeem Willis,Shanetra Cal,Jeren Bary,Hinda Dillie,Jafar Darill,Chinwe Gerrard,Jarmaine Rodrigo,Boaz Winn,Mikol Berne,Tarran Fitz,Tali Sigvard,Laycie Taylor,Genise Gaylord,Shirelle Ryley]
09/07/1925;15:22;Toul, France;CIDNA;None;Spad 33;None;None;Unknown;0;0;[]
10/01/1925;16:03;Mt. Nittany, Ohio;US Aerial Mail Service;None;De Havilland DH-4;385;None;Unknown;1;1;[Jameika Stanwood]
11/14/1925;19:23;Nouadhibou, Mauritania;Lignes Aeriennes Latecoere;None;Breguet 14;F-AEGZ;168;Unknown;1;1;[Delontae Nollie]
11/14/1925;05:31;Off Boulogne-sur-Mer, France;Air Union;None;Farman F-60 Goliath;F-AMFY;None;Unknown;2;2;[Lakeitha Munmro,Davien Chris]
02/12/1926;01:08;Montpelier, Ohio;US Aerial Mail Service;None;Curtiss Carrier Pigeon;602;None;Unknown;1;1;[Blaire Christophorus]
03/08/1926;17:11;Staaken, Germany;Deutsche Lufthansa;None;Junkers F-13;D-290 D-290;665;Hijacked;1;1;[Leib Aldrich]
05/31/1926;05:13;English Channel;Air Union;None;Breguet 14;F-ADAI;1908;Other;1;1;[Tawana Lucias]
07/03/1926;09:53;Rossaugpt, Czechoslovakia;Compagnie Internationale de Navigation Aerienne;None;Caudron C-61;F-AFBT;5307;Other;6;6;[Charlotta Chariot,Ryle Cassius,Koby Yard,Shanley Beale,Jerrid Gearalt,Abbas Mitchel]
07/09/1926;09:30;Wolvertem, Belgium;KLM Royal Dutch Airlines;None;Fokker F7;H-NACC;4759;Unknown;2;2;[Shirleen Dwayne,Dontee Irv]
07/24/1926;20:14;Juist, Germany;Deutsche Lufthansa;None;Junkers F-13;D-272;660;Unknown;5;5;[Shilpa Leroi,Terrall Fredric,Kaylynn Peadar,Cayley Any,Stephano Talbert]
08/18/1926;17:13;Hurst, Kent, England;Air Union;None;Bleriot 155;F-AIEB;2;Unknown;3;15;[Magdeline Humberto,Kathrine Eal,Lashara Harv]
09/26/1926;15:11;New York, New York;Unknown;None;Sikorsky S-25;None;None;Unknown;2;5;[Nika Berkeley,Marlinda Colas]
